metric,value,fiscal_period,source_type,url,date_accessed,notes
comp_sales_growth,3.8%,Q2 FY2026,10-Q filing,https://www.sec.gov/Archives/edgar/data/0000027419/000002741926000034/a2026q2ex-99.htm,2026-09-03,current quarter comp sales change
comp_sales_growth,-1.9%,Q2 FY2025,10-Q filing,https://www.sec.gov/Archives/edgar/data/0000027419/000002741926000034/a2026q2ex-99.htm,2026-09-03,"prior year comparison quarter, same filing"
tariff_refund,$994M pretax,Q2 FY2026,earnings report,https://www.startribune.com/target-tariffs-refund-trump-earnings-profit-eps-sales/601880010,2026-09-03,one-time benefit inflating EPS not revenue
boycott_start,Feb 2025,FY2025,news,https://triplepundit.com/2026/target-boycott-dei-store-experience/,2026-09-03,Rev. Bryant DEI boycott launch
boycott_end_announced,Mar 11 2026,FY2026,news,https://www.axios.com/2026/03/11/target-boycott-ends-dei,2026-09-03,"organizers announced end, unclear actual demand impact timing"
ceo_transition,Feb 2026,FY2026,news/8-K,https://triplepundit.com/2026/target-boycott-dei-store-experience/,2026-09-03,"Cornell steps back Feb 2026, Fiddelke becomes CEO"
walmart_comp_sales_growth,2.6% (ex-fuel),Q2 FY27 (Walmart naming) = same period as Target Q2 FY2026,earnings release,https://corporate.walmart.com/news/2026/08/20/walmart-releases-q2-fy27-earnings,2026-09-03,"13wk period ended Jul 31 2026 vs Aug 1 2025; Walmart also received tariff refund benefit this qtr"
walmart_comp_sales_growth,4.6%,Q2 FY26 (Walmart naming) = same period as Target Q2 FY2025,earnings release,https://stock.walmart.com/_assets/_7a09ca044b2640f1e1f91ff50181283f/walmart/db/938/9959/earnings_release/Earnings+Release+(FY26+Q2).pdf,2026-09-03,"13wk period ended Aug 1 2025 vs Jul 26 2024, prior-year quarter matching Target comparison"
eps_growth_headline,100.3%,Q2 FY2026 vs Q2 FY2025,10-Q filing,https://www.sec.gov/Archives/edgar/data/0000027419/000002741926000042/tgt-20260801.htm,2026-09-03,"GAAP diluted EPS $4.11 vs $2.05"
eps_growth_exrefund,20.0%,Q2 FY2026 vs Q2 FY2025,earnings release,https://corporate.target.com/press/release/2026/08/target-corporation-reports-second-quarter-earnings,2026-09-03,"CFO Jim Lee cited as better measure of underlying performance"
